date_added,date_updated,data_name,instrument,area,interval,data_date_start,data_date_end,ticker_list,source,data_path,ticker_list_filepath
2022-05-25,2022-06-23,20220525_lq45_index,stock_index,indonesia,1d,1997-02-24 00:00:00,2022-06-23 00:00:00,LQ45,yfinance,/workspace/202205_idx-trading/_data/20220525_lq45_index.csv,none
2022-05-25,2022-06-23,20220525_lq45,stock,indonesia,1d,2000-06-06 00:00:00,2022-06-23 00:00:00,"['ADRO.JK', 'AMRT.JK', 'ANTM.JK', 'ASII.JK', 'BBCA.JK', 'BBNI.JK', 'BBRI.JK', 'BBTN.JK', 'BFIN.JK', 'BMRI.JK', 'BRPT.JK', 'BUKA.JK', 'CPIN.JK', 'EMTK.JK', 'ERAA.JK', 'EXCL.JK', 'GGRM.JK', 'HMSP.JK', 'HRUM.JK', 'ICBP.JK', 'INCO.JK', 'INDF.JK', 'INKP.JK', 'INTP.JK', 'ITMG.JK', 'JPFA.JK', 'KLBF.JK', 'MDKA.JK', 'MEDC.JK', 'MIKA.JK', 'MNCN.JK', 'PGAS.JK', 'PTBA.JK', 'PTPP.JK', 'SMGR.JK', 'TBIG.JK', 'TINS.JK', 'TKIM.JK', 'TLKM.JK', 'TOWR.JK', 'TPIA.JK', 'UNTR.JK', 'UNVR.JK', 'WIKA.JK', 'WSKT.JK']",yfinance,/workspace/202205_idx-trading/_data/20220525_lq45/,/workspace/202205_idx-trading/_data/20220525_lq45-list.txt
